sp_key,n_cells_br
Fis-23636,179
Fis-23637,1874
Fis-23639,3375
Fis-23643,307
Fis-23645,171
Fis-23646,184
Fis-23648,212
Fis-23649,252
Fis-23651,171
Fis-23652,176
Fis-23653,86
Fis-23655,208
Fis-23667,269
Fis-23673,260
Fis-23676,195
Fis-23682,246
Fis-23704,187
Fis-23707,372
Fis-23710,186
Fis-23712,216
Fis-23713,223
Fis-23715,178
Fis-23728,128
Fis-23729,279
Fis-23730,16
Fis-23731,214
Fis-23732,206
Fis-23733,172
Fis-23735,170
Fis-23742,245
Fis-23743,369
Fis-23744,171
Fis-23745,35
Fis-23749,328
Fis-23754,264
Fis-23758,1290
Fis-23759,1010
Fis-23760,279
Fis-23764,190
Fis-23768,169
Fis-23796,233
Fis-23800,1
Fis-23805,283
Fis-23806,456
Fis-23807,185
Fis-23808,396
Fis-23814,32
Fis-23815,84
Fis-23816,163
Fis-23817,233
Fis-23818,100
Fis-23819,284
Fis-23820,246
Fis-23821,329
Fis-23835,125
Fis-23836,31
Fis-23837,135
Fis-23838,252
Fis-23839,594
Fis-23844,800
Fis-23848,260
Fis-23849,315
Fis-23864,233
Fis-23866,14
Fis-23867,1
Fis-23878,11
Fis-23881,22
Fis-23882,1023
Fis-23884,203
Fis-23885,66
Fis-23886,266
Fis-23887,321
Fis-23888,1128
Fis-23889,1052
Fis-23893,1322
Fis-23895,244
Fis-23897,40
Fis-23898,1223
Fis-23899,3335
Fis-23903,199
Fis-23904,3414
Fis-23905,1937
Fis-23911,59
Fis-23912,210
Fis-23915,137
Fis-23927,161
Fis-23929,1818
Fis-23938,155
Fis-23950,2213
Fis-24003,363
Fis-24005,37
Fis-24006,227
Fis-24007,182
Fis-24013,352
Fis-24017,376
Fis-24018,215
Fis-24028,190
Fis-24039,295
Fis-24042,15
Fis-24043,54
Fis-24044,343
Fis-24045,19
Fis-24046,249
Fis-24068,168
Fis-24071,130
Fis-24077,106
Fis-24078,231
Fis-24125,81
Fis-24127,1028
Fis-24128,155
Fis-24132,446
Fis-24133,66
Fis-24136,78
Fis-24138,10
Fis-24140,210
Fis-24151,344
Fis-24153,95
Fis-24154,2032
Fis-24225,136
Fis-24226,171
Fis-24227,46
Fis-24228,43
Fis-24259,286
Fis-24260,218
Fis-24278,32
Fis-24300,39
Fis-24308,845
Fis-24310,901
Fis-24311,1123
Fis-24315,759
Fis-24323,207
Fis-24332,1232
Fis-24353,97
Fis-24354,358
Fis-24355,2569
Fis-24362,324
Fis-24363,240
Fis-24364,57
Fis-24365,236
Fis-24371,1683
Fis-24378,52
Fis-24386,205
Fis-24394,22
Fis-24399,984
Fis-24400,115
Fis-24401,78
Fis-24403,20
Fis-24404,394
Fis-24406,20
Fis-24407,673
Fis-24409,319
Fis-24410,326
Fis-24412,157
Fis-24417,37
Fis-24418,28
Fis-24419,172
Fis-24420,21
Fis-24421,519
Fis-24424,37
Fis-24427,220
Fis-24428,118
Fis-24429,39
Fis-24430,321
Fis-24431,164
Fis-24432,316
Fis-24433,397
Fis-24435,165
Fis-24436,416
Fis-24437,110
Fis-24438,22
Fis-24439,76
Fis-24440,104
Fis-24441,496
Fis-24442,157
Fis-24443,79
Fis-24444,61
Fis-24445,117
Fis-24447,228
Fis-24449,125
Fis-24450,51
Fis-24451,205
Fis-24453,17
Fis-24455,88
Fis-24456,584
Fis-24457,485
Fis-24458,231
Fis-24459,52
Fis-24460,149
Fis-24461,201
Fis-24462,193
Fis-24463,181
Fis-24464,17
Fis-24465,196
Fis-24467,806
Fis-24468,79
Fis-24469,399
Fis-24470,286
Fis-24471,119
Fis-24472,492
Fis-24476,117
Fis-24477,151
Fis-24478,315
Fis-24479,271
Fis-24480,166
Fis-24481,230
Fis-24482,63
Fis-24483,41
Fis-24486,236
Fis-24487,218
Fis-24489,1
Fis-24491,59
Fis-24492,15
Fis-24493,61
Fis-24494,140
Fis-24495,521
Fis-24496,163
Fis-24498,121
Fis-24499,152
Fis-24500,192
Fis-24501,23
Fis-24506,201
Fis-24507,543
Fis-24509,185
Fis-24510,57
Fis-24511,307
Fis-24512,70
Fis-24513,296
Fis-24514,109
Fis-24518,378
Fis-24520,87
Fis-24521,127
Fis-24522,151
Fis-24533,250
Fis-24537,241
Fis-24539,1130
Fis-24540,206
Fis-24542,23
Fis-24543,160
Fis-24544,131
Fis-24545,926
Fis-24552,229
Fis-24553,1228
Fis-24554,305
Fis-24555,671
Fis-24556,242
Fis-24559,215
Fis-24560,125
Fis-24562,727
Fis-24563,204
Fis-24604,223
Fis-24605,181
Fis-24607,183
Fis-24609,821
Fis-24610,1305
Fis-24611,760
Fis-24612,36
Fis-24613,161
Fis-24618,72
Fis-24622,101
Fis-24627,95
Fis-24631,21
Fis-24632,70
Fis-24633,26
Fis-24636,190
Fis-24637,131
Fis-24640,163
Fis-24648,219
Fis-24650,206
Fis-24651,1294
Fis-24652,883
Fis-24653,412
Fis-24654,195
Fis-24655,130
Fis-24656,234
Fis-24657,165
Fis-24658,170
Fis-24659,112
Fis-24660,100
Fis-24661,105
Fis-24662,14
Fis-24663,320
Fis-24665,139
Fis-24666,23
Fis-24668,850
Fis-24671,807
Fis-24672,426
Fis-24673,741
Fis-24674,765
Fis-24675,56
Fis-24676,285
Fis-24677,163
Fis-24678,121
Fis-24681,33
Fis-24683,119
Fis-24685,673
Fis-24686,78
Fis-24687,80
Fis-24688,144
Fis-24689,106
Fis-24690,119
Fis-24691,15
Fis-24693,544
Fis-24694,23
Fis-24695,14
Fis-24698,46
Fis-24699,49
Fis-24700,36
Fis-24701,17
Fis-24702,400
Fis-24703,56
Fis-24713,29
Fis-24715,652
Fis-24716,217
Fis-24717,21
Fis-24723,94
Fis-24724,142
Fis-24727,172
Fis-24728,87
Fis-24738,23
Fis-24740,207
Fis-24741,432
Fis-24742,20
Fis-24743,103
Fis-24744,333
Fis-24745,203
Fis-24746,736
Fis-24748,75
Fis-24749,111
Fis-24750,658
Fis-24751,1319
Fis-24753,1356
Fis-24756,1212
Fis-24758,665
Fis-24759,292
Fis-24760,50
Fis-24761,122
Fis-24762,1149
Fis-24763,198
Fis-24764,37
Fis-24765,62
Fis-24766,36
Fis-24767,1076
Fis-24768,1287
Fis-24769,141
Fis-24770,198
Fis-24772,14
Fis-24773,623
Fis-24774,126
Fis-24776,100
Fis-24778,83
Fis-24779,239
Fis-24780,97
Fis-24781,23
Fis-24782,28
Fis-24786,819
Fis-24788,293
Fis-24789,389
Fis-24802,15
Fis-24804,112
Fis-24806,217
Fis-24807,119
Fis-24808,919
Fis-24809,1188
Fis-24810,367
Fis-24812,621
Fis-24813,926
Fis-24814,34
Fis-24816,411
Fis-24821,825
Fis-24823,270
Fis-24824,154
Fis-24825,127
Fis-24826,31
Fis-24829,187
Fis-24831,169
Fis-24832,51
Fis-24835,159
Fis-24837,27
Fis-24838,57
Fis-24839,204
Fis-24840,119
Fis-24841,73
Fis-24842,333
Fis-24844,31
Fis-24846,760
Fis-24847,125
Fis-24849,44
Fis-24850,72
Fis-24851,24
Fis-24852,73
Fis-24853,61
Fis-24854,129
Fis-24855,40
Fis-24856,18
Fis-24857,28
Fis-24858,65
Fis-24860,133
Fis-24886,77
Fis-24887,147
Fis-24888,164
Fis-24889,169
Fis-24890,37
Fis-24891,598
Fis-24892,1060
Fis-24893,16
Fis-24894,526
Fis-24895,56
Fis-24896,1049
Fis-24897,268
Fis-24898,108
Fis-24899,1269
Fis-24900,129
Fis-24901,765
Fis-24906,16
Fis-24910,156
Fis-24911,159
Fis-24912,75
Fis-24913,182
Fis-24914,161
Fis-24917,110
Fis-24918,373
Fis-24919,24
