taxon_scientific_name,iucn_code,worms_id
Phymorhynchus carinatus,EN,434616
Phymorhynchus moskalevi,EN,434622
Phymorhynchus wareni,EN,434627
Haliotis madaka,EN,445336
Haliotis rubiginosa,CR,445352
Haliotis rufescens,CR,445357
Haliotis walallensis,CR,445374
Puffinus mauretanicus,CR,445503
Neophocaena asiaeorientalis,EN,446125
Mictocaris halope,CR,448280
Ifremeria nautilei,EN,449966
Lepetodrilus japonicus,CR,449975
Lepetodrilus nux,EN,449976
Lepetodrilus schrolli,CR,449979
Planorbidella depressa,CR,449999
Provanna buccinoides,EN,450001
Provanna segonzaci,CR,450011
Pyropelta bohlei,CR,450014
Symmetromphalus hageni,CR,450021
Bathyaustriella thionipta,EN,457470
Bathymodiolus manusensis,EN,457556
Adeuomphalus collinsi,CR,457673
Adeuomphalus elegans,CR,457674
Clathrosepta becki,CR,457900
Iheyaspira lequios,CR,457996
Margarites ryukyuensis,EN,457997
Pyropelta ryukyuensis,EN,458313
Fucaria mystax,CR,458589
Parvulastra vivipara,CR,459558
Pliocardia crenulomarginata,CR,464345
Phreagena edisonensis,CR,464348
Alosa algeriensis,EN,474902
Brachiopsilus dianthus,EN,474929
Brachiopsilus ziebelli,CR,474931
Pezichthys amplispinus,EN,474932
Pezichthys compressus,EN,474933
Sympterichthys moultoni,EN,474937
Amblyeleotris neglecta,EN,475003
Drombus dentifer,EN,475009
Bathymodiolus puteoserpentis,EN,505967
Bathymodiolus septemdierum,EN,505971
Bathyacmaea jonassoni,EN,510041
Puncturella solis,CR,510042
Paralepetopsis rosemariae,CR,510043
Shinkailepas tufari,EN,512321
Puncturella parvinobilis,EN,512329
Puncturella rimaizenaensis,CR,512330
Thermocollonia jamsteci,EN,512334
Laeviphitus japonicus,CR,512337
Dipturus maugeanus,EN,1592597
Chelonodontops pleurospilus,EN,1605273
Triangularis nuda,CR,1640240
Holothuria scabra,EN,1672770
Holothuria whitmaei,EN,1672780
