sci_ds,scientific_name_dataset,scientific_name_dataset_url,category,region,common_name,nmfs_esa,nmfs_esa_all,is_mmpa,scientific_name_accepted,worms_id,taxon_rank,is_marine,worms_id_url
Erignathus barbatus,Erignathus barbatus,https://www.fisheries.noaa.gov/species/bearded-seal,Seals & Sea Lions,; Alaska,NA,TN,TN,TRUE,Erignathus barbatus,137079,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137079
Delphinapterus leucas,Delphinapterus leucas,https://www.fisheries.noaa.gov/species/beluga-whale,Whales,; Alaska,NA,EN,EN,TRUE,Delphinapterus leucas,137115,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137115
Haliotis cracherodii,Haliotis cracherodii,https://www.fisheries.noaa.gov/species/black-abalone,Invertebrates; Abalone,; West Coast,NA,EN,EN,FALSE,Haliotis cracherodii,405012,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=405012
Mycteroperca bonaci,Mycteroperca bonaci,https://www.fisheries.noaa.gov/species/black-grouper,Fish; Reef Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Mycteroperca bonaci,159231,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159231
Centropristis striata,Centropristis striata,https://www.fisheries.noaa.gov/species/black-sea-bass,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Centropristis striata,159348,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159348
Holothuria nobilis,Holothuria nobilis,https://www.fisheries.noaa.gov/species/black-teatfish,Invertebrates; Other,; Foreign,NA,LC,LC,FALSE,Holothuria nobilis,1672772,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1672772
Rhinobatos cemiculus,Rhinobatos cemiculus,https://www.fisheries.noaa.gov/species/blackchin-guitarfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Glaucostegus cemiculus,1016062,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1016062
Carcharhinus acronotus,Carcharhinus acronotus,https://www.fisheries.noaa.gov/species/blacknose-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; Southeast,NA,LC,LC,FALSE,Carcharhinus acronotus,158508,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158508
Mesoplodon densirostris,Mesoplodon densirostris,https://www.fisheries.noaa.gov/species/blainvilles-beaked-whale,Whales,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Mesoplodon densirostris,137122,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137122
Ictalurus furcatus,Ictalurus furcatus,https://www.fisheries.noaa.gov/species/blue-catfish,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Ictalurus furcatus,275329,Species,FALSE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275329
Callinectes sapidus,Callinectes sapidus,https://www.fisheries.noaa.gov/species/blue-crab,Invertebrates; Crab; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Callinectes sapidus,107379,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107379
Mytilus edulis,Mytilus edulis,https://www.fisheries.noaa.gov/species/blue-mussel,"Invertebrates; Clams, Mussels, Oysters; Farmed Seafood",; AlaskaRegion; New England/Mid-AtlanticRegion; SoutheastRegion; West Coast,NA,LC,LC,FALSE,Mytilus edulis,140480,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=140480
Balaenoptera musculus,Balaenoptera musculus,https://www.fisheries.noaa.gov/species/blue-whale,Whales,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,TRUE,Balaenoptera musculus,137090,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137090
Pomatomus saltatrix,Pomatomus saltatrix,https://www.fisheries.noaa.gov/species/bluefish,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Pomatomus saltatrix,151482,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=151482
Sebastes paucispinis,Sebastes paucispinis,https://www.fisheries.noaa.gov/species/bocaccio,Fish; Groundfish; Wild-Caught Seafood,; AlaskaRegion; West Coast; ; West Coast,NA,EN,EN,FALSE,Sebastes paucispinis,274833,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=274833
Sphyrna tiburo,Sphyrna tiburo,https://www.fisheries.noaa.gov/species/bonnethead-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; SoutheastRegion; West Coast,NA,LC,LC,FALSE,Sphyrna tiburo,158517,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158517
Tridacna crocea,Tridacna crocea,https://www.fisheries.noaa.gov/species/boring-giant-clam,"Invertebrates; Clams, Mussels, Oysters",; Pacific Islands,NA,LC,LC,FALSE,Tridacna crocea,207673,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207673
Orbicella franksi,Orbicella franksi,https://www.fisheries.noaa.gov/species/boulder-star-coral,Invertebrates; Corals,; Southeast,NA,TN,TN,FALSE,Orbicella franksi,758262,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=758262
Balaena mysticetus,Balaena mysticetus,https://www.fisheries.noaa.gov/species/bowhead-whale,Whales,; Alaska,NA,EN,EN,TRUE,Balaena mysticetus,137086,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137086
Rhinobatos horkelii,Rhinobatos horkelii,https://www.fisheries.noaa.gov/species/brazilian-guitarfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Pseudobatos horkelii,1043490,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1043490
Sicyonia brevirostris,Sicyonia brevirostris,https://www.fisheries.noaa.gov/species/brown-rock-shrimp,Invertebrates; Shrimp; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Sicyonia brevirostris,158342,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158342
Farfantepenaeus aztecus,Farfantepenaeus aztecus,https://www.fisheries.noaa.gov/species/brown-shrimp,Invertebrates; Shrimp; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Penaeus (Farfantepenaeus) aztecus,1809216,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1809216
Balaenoptera edeni,Balaenoptera edeni,https://www.fisheries.noaa.gov/species/brydes-whale,Whales,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Balaenoptera edeni,137089,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137089
Peprilus triacanthus,Peprilus triacanthus,https://www.fisheries.noaa.gov/species/butterfish,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Peprilus triacanthus,159828,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159828
Zalophus californianus,Zalophus californianus,https://www.fisheries.noaa.gov/species/california-sea-lion,Seals & Sea Lions,; West Coast,NA,LC,LC,TRUE,Zalophus californianus,255003,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=255003
Sebastes pinniger,Sebastes pinniger,https://www.fisheries.noaa.gov/species/canary-rockfish,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast,NA,LC,LC,FALSE,Sebastes pinniger,274836,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=274836
Cantharellus noumeae,Cantharellus noumeae,https://www.fisheries.noaa.gov/species/cantharellus-noumeae-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Cantharellus noumeae,289570,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289570
Panulirus argus,Panulirus argus,https://www.fisheries.noaa.gov/species/caribbean-spiny-lobster,Invertebrates; Wild-Caught Seafood,; Southeast,NA,LC,LC,FALSE,Panulirus argus,382891,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=382891
Nautilus pompilius,Nautilus pompilius,https://www.fisheries.noaa.gov/species/chambered-nautilus,Invertebrates; Other,; Pacific Islands,NA,TN,TN,FALSE,Nautilus pompilius,216384,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=216384
Hippopus porcellanus,Hippopus porcellanus,https://www.fisheries.noaa.gov/species/china-clam,"Invertebrates; Clams, Mussels, Oysters",; Foreign,NA,LC,LC,FALSE,Hippopus porcellanus,382152,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=382152
Lipotes vexillifer,Lipotes vexillifer,https://www.fisheries.noaa.gov/species/chinese-river-dolphin,Dolphins & Porpoises,; Foreign,NA,LC,LC,TRUE,Lipotes vexillifer,254962,Species,FALSE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254962
Acipenser sinensis,Acipenser sinensis,https://www.fisheries.noaa.gov/species/chinese-sturgeon,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Sinosturio sinensis,1815698,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1815698
Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,https://www.fisheries.noaa.gov/species/chinook-salmon,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast; ; West Coast,NA,EN,EN,FALSE,Oncorhynchus tshawytscha,158075,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158075
Oncorhynchus keta,Oncorhynchus keta,https://www.fisheries.noaa.gov/species/chum-salmon,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast; ; West Coast,NA,TN,TN,FALSE,Oncorhynchus keta,127183,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127183
Stenella clymene,Stenella clymene,https://www.fisheries.noaa.gov/species/clymene-dolphin,Dolphins & Porpoises,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,TRUE,Stenella clymene,137106,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137106
Rachycentron canadum,Rachycentron canadum,https://www.fisheries.noaa.gov/species/cobia,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Rachycentron canadum,127006,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127006
Oncorhynchus kisutch,Oncorhynchus kisutch,https://www.fisheries.noaa.gov/species/coho-salmon,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast; ; West Coast,NA,EN,EN,FALSE,Oncorhynchus kisutch,127184,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127184
Squatina squatina,Squatina squatina,https://www.fisheries.noaa.gov/species/common-angelshark,Fish; Protected Fish; Sharks,; Foreign,NA,LC,LC,FALSE,Squatina squatina,105928,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105928
