is_ok,component,common_name,scientific_name,redlist_code_max,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,n_datasets,taxon_authority,taxon_id,model_id
TRUE,bird,Marbled Godwit,Limosa fedoa,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693162,17832
TRUE,bird,Marbled Murrelet,Brachyramphus marmoratus,EN,FWS:TN,50,FALSE,TRUE,TRUE,TRUE,NA,4,botw,22694870,NA
TRUE,bird,McKay's Bunting,Plectrophenax hyperboreus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22721046,17921
TRUE,bird,Mew Gull,Larus canus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694308,17812
TRUE,bird,Middendorff's Grasshopper-warbler,Helopsaltes ochotensis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22714669,18138
TRUE,bird,Mottled Petrel,Pterodroma inexpectata,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22697963,17956
TRUE,bird,Murphy's Petrel,Pterodroma ultima,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22698039,17964
TRUE,bird,Newell's Shearwater,Puffinus newelli,CR,FWS:TN,50,FALSE,TRUE,FALSE,TRUE,NA,3,botw,132467692,NA
TRUE,bird,Northern Fulmar,Fulmarus glacialis,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22697866,17757
TRUE,bird,Northern Gannet,Morus bassanus,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22696657,17865
TRUE,bird,Northern Grey Shrike,Lanius borealis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,103718956,18264
TRUE,bird,Oriental Greenfinch,Chloris sinica,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22720340,17685
TRUE,bird,Pacific Golden Plover,Pluvialis fulva,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22693735,17925
TRUE,bird,Pacific Loon,Gavia pacifica,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22697839,17765
TRUE,bird,Pacific Wren,Troglodytes pacificus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,103884879,18280
TRUE,bird,Parakeet Auklet,Aethia psittacula,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694906,18128
TRUE,bird,Pectoral Sandpiper,Calidris melanotos,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22693408,17651
TRUE,bird,Pelagic Cormorant,Urile pelagicus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22728950,18072
TRUE,bird,Pigeon Guillemot,Cepphus columba,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694864,17672
TRUE,bird,Pink-footed Shearwater,Ardenna creatopus,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22698195,17609
TRUE,bird,Piping Plover,Charadrius melodus,EN,FWS:EN,100,FALSE,TRUE,FALSE,TRUE,NA,4,botw,22693811,NA
TRUE,bird,Pomarine Jaeger,Stercorarius pomarinus,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22694240,18027
TRUE,bird,Pycroft's Petrel,Pterodroma pycrofti,VU,IUCN:VU,5,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22697984,17961
TRUE,bird,Red Fox-sparrow,Passerella iliaca,LC,FWS:LC,10,FALSE,TRUE,FALSE,NA,NA,1,botw,103779110,18284
TRUE,bird,Red Knot,Calidris canutus,TN,IUCN:TN,1,FALSE,FALSE,FALSE,TRUE,NA,4,botw,22693363,NA
TRUE,bird,Red Phalarope,Phalaropus fulicarius,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22693494,17910
TRUE,bird,Red-breasted Merganser,Mergus serrator,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22680485,17861
TRUE,bird,Red-cockaded Woodpecker,Leuconotopicus borealis,TN,IUCN:TN,1,FALSE,FALSE,FALSE,NA,NA,3,botw,22681158,NA
TRUE,bird,Red-faced Cormorant,Urile urile,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22696887,18074
TRUE,bird,Red-legged Kittiwake,Rissa brevirostris,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694502,17989
TRUE,bird,Red-necked Grebe,Podiceps grisegena,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22696599,18151
TRUE,bird,Red-necked Phalarope,Phalaropus lobatus,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,1,botw,22693490,17911
TRUE,bird,Red-necked Stint,Calidris ruficollis,NT,IUCN:NT,2,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693383,17656
TRUE,bird,Red-throated Loon,Gavia stellata,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22697829,17766
TRUE,bird,Redpoll,Acanthis flammea,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22725044,17554
TRUE,bird,Rhinoceros Auklet,Cerorhinca monocerata,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694924,17674
TRUE,bird,Ridgway's Rail,Rallus obsoletus,EN,IUCN:EN,25,FALSE,FALSE,FALSE,NA,NA,2,botw,22731577,NA
TRUE,bird,Rock Sandpiper,Calidris ptilocnemis,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22693424,17653
