taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
273485,Plectorhinchus cinctus,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
274689,Pontinus macrocephalus,fish,ok,15573,9258,17968,45.828,29.575,0.482,42.426,22.973,-16.253,0.364,-16.253,NA,NA,NA,NA,15573,NA,NA,NA,NA
220003,Pomacanthus semicirculatus,fish,absent_in_mask,0,16767,0,NA,NA,NA,19.173,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
218511,Pristipomoides filamentosus,fish,ok,23844,2530,56682,41.633,24.465,0.528,40.084,12.824,-17.168,0.287,-17.168,NA,NA,NA,NA,23844,NA,NA,NA,NA
273681,Psenes arafurensis,fish,ok,128543,133995,191,84.921,43.765,-0.043,77.227,43.847,-41.156,0.489,-50.152,-0.325,NA,27.032,-13.328,100354,6852,NA,726,20611
209298,Pseudamia gelatinosa,fish,ok,5156,15072,12735,27.707,22.504,0.234,28.116,15.599,-5.203,0.156,-5.203,NA,NA,NA,NA,5156,NA,NA,NA,NA
272497,Physiculus karrerae,fish,ok,27788,3278,40542,41.462,61.67,0.529,41.015,46.88,20.209,0.388,NA,20.568,NA,22.992,19.315,NA,17876,NA,662,9250
1007713,Platyberyx andriashevi,fish,ok,132798,85177,35608,80.093,59.63,-0.237,85.718,51.938,-20.463,0.524,-34.457,-0.469,NA,60.703,-15.093,70849,40869,NA,806,20274
301091,Physiculus nigrescens,fish,absent_in_mask,0,3765,0,NA,NA,NA,9.227,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
276811,Plesiops auritus,fish,absent_in_mask,0,610,0,NA,NA,NA,9.262,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
275003,Polyipnus unispinus,fish,ok,3423,888,28593,9.033,66.38,0.034,10.61,66.222,57.347,0.104,57.347,NA,NA,NA,NA,3423,NA,NA,NA,NA
275655,Porichthys margaritatus,fish,ok,17196,10487,54358,13.833,63.597,0.252,12.145,34.321,49.764,0.21,40.63,NA,54.25,61.208,NA,6764,0,8279,2153,0
254385,Poroclinus rothrocki,fish,ok,65105,10033,27881,52.052,57.377,0.653,48.819,46.945,5.325,0.632,36.817,NA,1.733,8.069,NA,5847,NA,54729,4529,NA
277158,Pomacentrus milleri,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
209369,Pristiapogon fraenatus,fish,ok,5190,14886,12301,30.426,16.045,0.26,30.18,9.517,-14.381,0.16,-14.381,NA,NA,NA,NA,5190,NA,NA,NA,NA
217874,Prognichthys sealei,fish,ok,142876,31172,25981,22.662,30.096,0.697,28.394,28.466,7.433,0.714,7.433,NA,NA,NA,NA,142876,NA,NA,0,NA
282340,Praealticus tanegasimae,fish,absent_in_mask,0,2001,0,NA,NA,NA,4.447,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
217376,Pristis microdon,fish,absent_in_mask,0,1910,0,NA,NA,NA,3.687,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
272510,Physiculus rastrelliger,fish,ok,6083,2461,8141,59.266,52.74,0.629,48.471,42.091,-6.526,0.365,-7.171,NA,NA,13.604,NA,5894,NA,NA,189,NA
276816,Plesiops insularis,fish,absent_in_mask,0,18629,0,NA,NA,NA,30.312,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
159556,Pontinus rathbuni,fish,ok,25191,923,33001,68.064,61.868,0.218,67.546,47.981,-6.195,0.426,NA,-0.603,NA,-35.283,-7.457,NA,10882,NA,1538,12771
105801,Prionace glauca,fish,ok,400503,76310,0,79.821,52.58,0.595,70.914,52.58,-27.241,0.84,-37.915,-8.901,-13.417,-2.24,-16.645,232978,50568,91601,1700,23656
159427,Psenes cyanophrys,fish,ok,272293,20785,4923,93.78,63.302,-0.125,88.51,62.375,-30.478,0.914,-43.824,6.823,NA,40.823,2.767,199766,47046,NA,1682,23799
219334,Plagiotremus rhinorhynchos,fish,ok,3842,14313,9411,22.828,18.429,0.122,21.724,9.12,-4.399,0.139,-4.399,NA,NA,NA,NA,3842,NA,NA,NA,NA
276819,Plesiops oxycephalus,fish,ok,2293,1072,8472,8.468,24.963,0.079,10.982,12.169,16.495,0.194,16.495,NA,NA,NA,NA,2293,NA,NA,NA,NA
278436,Pleurosicya bilobata,fish,ok,3218,1027,29503,20.347,31.954,0.249,19.586,15.523,11.607,0.095,11.607,NA,NA,NA,NA,3218,NA,NA,NA,NA
218509,Pristipomoides sieboldii,fish,ok,23184,2522,57950,41.747,31.042,0.563,40.097,17.088,-10.706,0.277,-10.706,NA,NA,NA,NA,23184,NA,NA,NA,NA
282275,Platygillellus rubrocinctus,fish,ok,5321,6736,2942,56.742,54.674,0.35,32.345,41.472,-2.067,0.355,NA,-4.555,NA,6.801,1.963,NA,3604,NA,423,1294
127005,Priacanthus arenatus,fish,ok,37117,3253,10617,67.693,77.779,0.618,64.22,68.539,10.085,0.728,NA,13.246,NA,21.327,3.349,NA,19530,NA,3157,14430
276769,Priolepis hipoliti,fish,ok,23214,1538,11187,42.491,56.796,0.33,41.765,48.144,14.305,0.646,NA,13.032,NA,20.682,14.493,NA,8743,NA,1358,13113
159572,Prionotus evolans,fish,ok,15761,2716,7232,67.02,68.674,0.648,61.455,55.446,1.653,0.613,NA,-0.82,NA,24.827,NA,NA,14241,NA,1520,0
1043479,Pseudobatos lentiginosus,fish,ok,17113,2053,4525,63.54,72.622,0.607,61.925,62.628,9.082,0.722,NA,-1.183,NA,14.541,13.606,NA,5357,NA,1928,9828
218272,Pseudanthias tuka,fish,ok,1788,1343,5946,20.683,12.066,0.163,20.855,8.203,-8.617,0.197,-8.617,NA,NA,NA,NA,1788,NA,NA,NA,NA
277080,Pseudorhombus jenynsii,fish,absent_in_mask,0,682,0,NA,NA,NA,28.432,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
278945,Pterocaesio tessellata,fish,absent_in_mask,0,3506,0,NA,NA,NA,15.987,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
282573,Rhabdoblennius rhabdotrachelus,fish,ok,4097,4381,28298,33.497,62.161,0.147,34.723,41.233,28.664,0.111,28.664,NA,NA,NA,NA,4097,NA,NA,NA,NA
277182,Rhinecanthus lunula,fish,ok,1154,17747,4214,37.034,67.007,0.157,35.049,38.083,29.973,0.05,29.973,NA,NA,NA,NA,1154,NA,NA,NA,NA
277214,Rhinopias aphanes,fish,absent_in_mask,0,5307,0,NA,NA,NA,24.471,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
217943,Sargocentron violaceum,fish,ok,4741,13414,10398,29.324,18.131,0.224,22.143,12.267,-11.193,0.166,-11.193,NA,NA,NA,NA,4741,NA,NA,NA,NA
300551,Sardinella brasiliensis,fish,absent_in_mask,0,20038,0,NA,NA,NA,66.323,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
219094,Scarus dubius,fish,ok,6167,5098,11062,43.783,37.205,0.44,34.009,18.633,-6.578,0.276,-6.578,NA,NA,NA,NA,6167,NA,NA,NA,NA
276051,Scarus hypselopterus,fish,absent_in_mask,0,1540,0,NA,NA,NA,9.736,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
1460141,Rostroraja eglanteria,fish,ok,29937,2277,9590,64.219,66.228,0.623,63.054,60.279,2.009,0.716,NA,-8.542,NA,18.312,19.775,NA,18642,NA,2724,8571
127020,Rastrelliger kanagurta,fish,ok,0,2393,624,NA,NA,NA,4.619,2.909,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
1670925,Rostroraja texana,fish,ok,14982,3396,1009,75.555,70.213,0.598,70.683,68.435,-5.342,0.773,NA,-28.852,NA,8.708,-5.236,NA,906,NA,1420,12656
272111,Saurida flamma,fish,ok,10588,1426,23025,39.211,35.004,0.507,36.106,17.595,-4.207,0.302,-4.207,NA,NA,NA,NA,10588,NA,NA,NA,NA
218083,Pterois lunulata,fish,absent_in_mask,0,2779,0,NA,NA,NA,7.649,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
218088,Rhinopias eschmeyeri,fish,ok,2102,3391,10352,31.412,22.026,0.259,26.348,7.685,-9.386,0.133,-9.386,NA,NA,NA,NA,2102,NA,NA,NA,NA
159428,Rondeletia bicolor,fish,ok,48750,99,46774,77.494,70.305,0.115,77.42,54.95,-7.188,0.51,NA,-6.96,NA,43.353,-8.085,0,34614,NA,93,14043
215623,Richardsonichthys leucogaster,fish,absent_in_mask,0,4958,0,NA,NA,NA,15.84,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
278375,Salarias patzneri,fish,absent_in_mask,0,682,0,NA,NA,NA,24.475,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
