worms_id,botw_id,redlist_code,worms_id_url,scientific_names_dataset,scientific_names_dataset_url,scientific_name_accepted,taxon_rank,common_name,taxonomic_group,entity_descriptions,lead_agency,fws_esa,fws_esa_all,is_bcc
1484319,61752071,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1484319,Bubo virginianus,https://ecos.fws.gov/ecp/species/10959,Bubo virginianus,Species,Great horned owl,Birds,NA,FWS,LC,LC,FALSE
137193,22698132,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137193,Bulweria bulwerii,https://ecos.fws.gov/ecp/species/10579,Bulweria bulwerii,Species,Bulwer's Petrel,Birds,NA,FWS,LC,LC,TRUE
259546,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=259546,Caecidotea filicispeluncae,https://ecos.fws.gov/ecp/species/225,Caecidotea filicispeluncae,Species,[Unnamed] isopod,Crustaceans,Wherever found,FWS,LC,LC,FALSE
1478602,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1478602,Caiman latirostris,https://ecos.fws.gov/ecp/species/6200,Caiman latirostris,Species,Broad-snouted caiman,Reptiles,"Bolivia, Brazil, Paraguay, and Uruguay; Argentina DPS",FWS,EN,EN,FALSE
1478610,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1478610,Caiman yacare,https://ecos.fws.gov/ecp/species/6627,Caiman yacare,Species,Yacare Caiman,Reptiles,Wherever found,FWS,TN,TN,FALSE
1751760,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1751760,Calidris alpina arcticola,https://ecos.fws.gov/ecp/species/9573,Calidris alpina arcticola,Subspecies,Northern Alaska Dunlin,Birds,Wherever found,FWS,LC,LC,TRUE
1488272,22693464,VU,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1488272,Calidris falcinellus,https://ecos.fws.gov/ecp/species/10815,Calidris falcinellus,Species,No common name,Birds,NA,FWS,LC,LC,FALSE
159052,22693420,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159052,Calidris maritima,https://ecos.fws.gov/ecp/species/9574,Calidris maritima,Species,Purple Sandpiper,Birds,Wherever found,FWS,LC,LC,TRUE
159053,22693408,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159053,Calidris melanotos,https://ecos.fws.gov/ecp/species/9561,Calidris melanotos,Species,Pectoral Sandpiper,Birds,Wherever found,FWS,LC,LC,TRUE
159055,22693373,NT,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159055,Calidris pusilla,https://ecos.fws.gov/ecp/species/9603,Calidris pusilla,Species,Semipalmated Sandpiper,Birds,Wherever found,FWS,LC,LC,TRUE
515220,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=515220,Calliasmata pholidota,https://ecos.fws.gov/ecp/species/8067,Calliasmata pholidota,Species,Anchialine pool Shrimp,Crustaceans,Wherever found,FWS,LC,LC,FALSE
107379,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=107379,Callinectes sapidus,https://ecos.fws.gov/ecp/species/11359,Callinectes sapidus,Species,Blue Crab,Crustaceans,NA,FWS,LC,LC,FALSE
137194,45061132,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137194,Calonectris diomedea,https://ecos.fws.gov/ecp/species/10452,Calonectris diomedea,Species,Cory's Shearwater,Birds,Wherever found,FWS,LC,LC,TRUE
1506689,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1506689,Canis lupus,https://ecos.fws.gov/ecp/species/4488,Canis lupus,Species,Gray wolf,Mammals,"Northern Rocky Mountain Distinct Population Segment: Montana, Idaho, Wyoming, eastern Washington, eastern Oregon, and north central Utah; U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA as follows: (1) Northern AZ (that portion north of the centerline of Interstate Highway 40); (2) Northern NM (that portion north of the centerline of Interstate Highway 40); (3) Western OR (that portion of OR west of the centerline of Highway 395 and Highway 78 north of Burns Junction and that portion of OR west of the centerline of Highway 95 south of Burns Junction); (4) Most of Utah (that portion of UT south and west of the centerline of Highway 84 and that portion of UT south of Highway 80 from Echo to the UT/WY Stateline); and (5) Western WA (that portion of WA west of the centerline of Highway 97 and Highway 17 north of Mesa and that portion of WA west of the centerline of Highway 395 south of Mesa). Mexico.; CO experimental population (CO); U.S.A. (MN); Western Gray Wolf Population + AZ: AZ, CA, CO, ID, MT, NV, OR, UT, WY, WA; Western Gray Wolf Population: CA, CO, ID, MT, NV, OR, UT, WY, WA",FWS,EN,EN,FALSE
289570,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289570,Cantharellus noumeae,https://ecos.fws.gov/ecp/species/10523,Cantharellus noumeae,Species,No common name,Corals,NA,NMFS,EN,EN,FALSE
1034765,22725702,LC,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1034765,Caprimulgus jotaka,https://ecos.fws.gov/ecp/species/10829,Caprimulgus jotaka,Species,Gray Nightjar,Birds,NA,FWS,LC,LC,FALSE
218414,NA,NA,https://www.marinespecies.org/aphia.php?p=taxdetails&id=218414,Caranx ignobilis,https://ecos.fws.gov/ecp/species/11365,Caranx ignobilis,Species,"Giant Trevally, Ulua",Fishes,NA,FWS,LC,LC,FALSE
