scientific_name,reason
Chrysiptera hemicyanea,iucn_range_outside_us_eez
Chrysiptera oxycephala,iucn_range_outside_us_eez
Chrysiptera parasema,iucn_range_outside_us_eez
Chrysiptera rex,iucn_range_outside_us_eez
Chrysiptera rollandi,iucn_range_outside_us_eez
Chrysiptera starcki,iucn_range_outside_us_eez
Chrysiptera talboti,iucn_range_outside_us_eez
Chrysiptera unimaculata,iucn_range_outside_us_eez
Cirrhigaleus barbifer,iucn_range_outside_us_eez
Cirrhilabrus bathyphilus,iucn_range_outside_us_eez
Cirrhilabrus beauperryi,iucn_range_outside_us_eez
Cirrhilabrus condei,iucn_range_outside_us_eez
Cirrhilabrus cyanopleura,iucn_range_outside_us_eez
Cirrhilabrus laboutei,iucn_range_outside_us_eez
Cirrhilabrus lineatus,iucn_range_outside_us_eez
Cirrhilabrus rubrimarginatus,iucn_range_outside_us_eez
Cirrhilabrus temminckii,iucn_range_outside_us_eez
Cirrhitichthys aprinus,iucn_range_outside_us_eez
Cirrhitichthys aureus,iucn_range_outside_us_eez
Cirrhitichthys calliurus,iucn_range_outside_us_eez
Cirrhitichthys guichenoti,iucn_range_outside_us_eez
Cirriemblemaria lucasana,iucn_range_outside_us_eez
Cirripectes chelomatus,iucn_range_outside_us_eez
Cirripectes filamentosus,iucn_range_outside_us_eez
Cirripectes perustus,iucn_range_outside_us_eez
Citharichthys mariajorisae,iucn_range_outside_us_eez
Citharoides macrolepidotus,iucn_range_outside_us_eez
Clarkichthys bilineatus,iucn_range_outside_us_eez
Cleisthenes pinetorum,iucn_range_outside_us_eez
Cociella punctata,iucn_range_outside_us_eez
Collichthys lucidus,iucn_range_outside_us_eez
Coloconger raniceps,iucn_range_outside_us_eez
Coloconger scholesi,iucn_range_outside_us_eez
Conasprella aculeiformis,iucn_range_outside_us_eez
Conasprella aphrodite,iucn_range_outside_us_eez
Conasprella articulata,iucn_range_outside_us_eez
Conasprella baileyi,iucn_range_outside_us_eez
Conasprella boholensis,iucn_range_outside_us_eez
Conasprella boucheti,iucn_range_outside_us_eez
Conasprella kimioi,iucn_range_outside_us_eez
Conasprella orbignyi,iucn_range_outside_us_eez
Conasprella tirardi,iucn_range_outside_us_eez
Conasprella viminea,iucn_range_outside_us_eez
Conger verreauxi,iucn_range_outside_us_eez
Conger wilsoni,iucn_range_outside_us_eez
Congrogadus spinifer,iucn_range_outside_us_eez
Congrogadus subducens,iucn_range_outside_us_eez
Conidens laticephalus,iucn_range_outside_us_eez
Conus achatinus,iucn_range_outside_us_eez
Conus andremenezi,iucn_range_outside_us_eez
Conus archon,iucn_range_outside_us_eez
Conus armadillo,iucn_range_outside_us_eez
Conus aurantius,iucn_range_outside_us_eez
Conus aurisiacus,iucn_range_outside_us_eez
Conus betulinus,iucn_range_outside_us_eez
Conus biliosus,iucn_range_outside_us_eez
Conus boeticus,iucn_range_outside_us_eez
Conus brunneus,iucn_range_outside_us_eez
Conus capitanellus,iucn_range_outside_us_eez
Conus chiangi,iucn_range_outside_us_eez
Conus cinereus,iucn_range_outside_us_eez
Conus coccineus,iucn_range_outside_us_eez
Conus consors,iucn_range_outside_us_eez
Conus cuvieri,iucn_range_outside_us_eez
Conus dusaveli,iucn_range_outside_us_eez
Conus encaustus,iucn_range_outside_us_eez
Conus excelsus,iucn_range_outside_us_eez
Conus eximius,iucn_range_outside_us_eez
Conus fergusoni,iucn_range_outside_us_eez
Conus figulinus,iucn_range_outside_us_eez
Conus floridulus,iucn_range_outside_us_eez
Conus gladiator,iucn_range_outside_us_eez
Conus granum,iucn_range_outside_us_eez
Conus hirasei,iucn_range_outside_us_eez
Conus kinoshitai,iucn_range_outside_us_eez
Conus lienardi,iucn_range_outside_us_eez
Conus lischkeanus,iucn_range_outside_us_eez
Conus luteus,iucn_range_outside_us_eez
Conus milneedwardsi,iucn_range_outside_us_eez
Conus miniexcelsus,iucn_range_outside_us_eez
Conus moluccensis,iucn_range_outside_us_eez
Conus monachus,iucn_range_outside_us_eez
Conus nielsenae,iucn_range_outside_us_eez
Conus omaria,iucn_range_outside_us_eez
Conus parius,iucn_range_outside_us_eez
Conus poormani,iucn_range_outside_us_eez
Conus praecellens,iucn_range_outside_us_eez
Conus purpurascens,iucn_range_outside_us_eez
Conus radiatus,iucn_range_outside_us_eez
Conus sculletti,iucn_range_outside_us_eez
Conus sennottorum,iucn_range_outside_us_eez
Conus spectrum,iucn_range_outside_us_eez
Conus sulcatus,iucn_range_outside_us_eez
Conus sulcocastaneus,iucn_range_outside_us_eez
Conus suratensis,iucn_range_outside_us_eez
Conus swainsoni,iucn_range_outside_us_eez
Conus tenuistriatus,iucn_range_outside_us_eez
Conus viola,iucn_range_outside_us_eez
Conus voluminalis,iucn_range_outside_us_eez
