aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
395016,Pachygrapsus crassipes,Arthropoda,Malacostraca,66,33,1975,2022,FALSE,FALSE,NA
363905,Delius nudus,Arthropoda,Copepoda,95,33,1964,2021,FALSE,FALSE,available
327415,Chaetozone columbiana,Annelida,Polychaeta,37,33,1980,2003,FALSE,FALSE,NA
158041,Mayerella limicola,Arthropoda,Malacostraca,69,33,1961,2011,FALSE,FALSE,NA
145541,Ascophyllum nodosum,Ochrophyta,Phaeophyceae,113,33,1903,2020,FALSE,FALSE,available
421133,Conopea galeata,Arthropoda,Thecostraca,34,33,1936,2019,FALSE,FALSE,NA
162810,Actinocyclus senarius,Heterokontophyta,Bacillariophyceae,284,33,1964,2014,FALSE,FALSE,available
555052,Thalassionema frauenfeldii,Heterokontophyta,Bacillariophyceae,160,33,1974,2013,FALSE,FALSE,available
529599,Pentamera populifera,Echinodermata,Holothuroidea,41,33,1889,2014,FALSE,FALSE,NA
451384,Eusarsiella nodimarginis,Arthropoda,Ostracoda,47,33,1977,2007,FALSE,FALSE,NA
178242,Cheiraster (Barbadosaster) echinulatus,Echinodermata,Asteroidea,54,33,1950,2017,FALSE,FALSE,NA
238200,Myrianida prolifera,Annelida,Polychaeta,66,33,1881,2007,FALSE,FALSE,available
376147,Chlorarachnion reptans,Chlorarachniophyta,Chlorarachniophyceae,158,33,2021,2023,FALSE,FALSE,NA
327523,Eteone californica,Annelida,Polychaeta,156,33,1932,2003,FALSE,FALSE,NA
254734,Dyopedos arcticus,Arthropoda,Malacostraca,38,33,1955,2003,FALSE,FALSE,NA
125348,Acanthogorgia armata,Cnidaria,Octocorallia,126,33,1879,2019,FALSE,FALSE,available
494947,Antithamnion antillanum,Rhodophyta,Florideophyceae,49,33,1979,2006,FALSE,FALSE,available
157485,Meiodorvillea minuta,Annelida,Polychaeta,130,33,1976,1986,FALSE,FALSE,NA
527881,Fissurella volcano,Mollusca,Gastropoda,66,33,1916,2021,FALSE,FALSE,NA
130981,Sclerobregma branchiatum,Annelida,Polychaeta,242,33,1961,1985,FALSE,FALSE,available
330868,Polycirrus carolinensis,Annelida,Polychaeta,80,33,1965,2015,FALSE,FALSE,NA
464195,Lucinisca centrifuga,Mollusca,Bivalvia,38,33,1922,2010,FALSE,FALSE,NA
265761,Siboglinum fulgens,Annelida,Polychaeta,48,33,1964,1986,FALSE,FALSE,NA
491531,Parahaustorius attenuatus,Arthropoda,Malacostraca,105,33,1955,1997,FALSE,FALSE,NA
