"common_name","scientific_name","also_known_as","category","protected_status","region","species_url"
"Sunflower Sea Star","Pycnopodia helianthoides",NA,"Invertebrates","ESA Proposed - Threatened","; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/sunflower-sea-star"
"Taiwanese Humpback Dolphin","Sousa chinensis taiwanensis",NA,"Dolphins & Porpoises","ESA Endangered - Foreign; MMPA Protected; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/taiwanese-humpback-dolphin"
"Tilefish","Caulolatilus microps","Blueline tilefish, Gray tilefish","Fish; Reef Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/tilefish"
"Tope Shark","Galeorhinus galeus","School Shark, Soupfin Shark, Snapper Shark","Fish; Sharks","ESA Candidate","; West Coast","https://www.fisheries.noaa.gov/species/tope-shark"
"Totoaba","Totoaba macdonaldi",NA,"Fish; Protected Fish","ESA Endangered - Foreign; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/totoaba"
"True Giant Clam","Tridacna gigas",NA,"Invertebrates; Clams, Mussels, Oysters","ESA Proposed - Endangered; CITES Appendix II","; Pacific Islands","https://www.fisheries.noaa.gov/species/true-giant-clam"
"True's Beaked Whale","Mesoplodon mirus",NA,"Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/trues-beaked-whale"
"Tubastraea floreana Coral","Tubastraea floreana",NA,"Invertebrates; Corals","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/tubastraea-floreana-coral"
"Vaquita","Phocoena sinus","Gulf of California harbor porpoise, Cochito","Dolphins & Porpoises","ESA Endangered - Foreign; MMPA Protected; MMPA Depleted; CITES Appendix I","; Foreign","https://www.fisheries.noaa.gov/species/vaquita"
"Vermilion Snapper","Rhomboplites aurorubens","Snapper, Beeliner, Clubhead snapper, Night snapper, Besugo, Rubia","Fish; Wild-Caught Seafood",NA,"; Southeast","https://www.fisheries.noaa.gov/species/vermilion-snapper"
"West Coast Coastal Pelagic Species","Multiple species",NA,"Fish; Coastal Pelagic Fish",NA,"; West Coast","https://www.fisheries.noaa.gov/species/west-coast-coastal-pelagic-species"
"West Coast Groundfish","Multiple species",NA,"Fish; Groundfish; Sharks",NA,"; West Coast","https://www.fisheries.noaa.gov/species/west-coast-groundfish"
"Western Atlantic Bluefin Tuna","Thunnus thynnus","Tuna, Bluefin tuna, Toro, Maguro, Giant bluefin, Northern bluefin tuna","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/western-atlantic-bluefin-tuna"
"White Abalone","Haliotis sorenseni",NA,"Invertebrates; Abalone","ESA Endangered","; West Coast","https://www.fisheries.noaa.gov/species/white-abalone"
"White Hake","Urophycis tenuis","Mud hake, Boston hake","Fish; Wild-Caught Seafood",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/white-hake"
"White Shark","Carcharodon carcharias","Great white, Great white shark, White pointer","Fish; Highly Migratory Fish; Sharks",NA,"; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/white-shark"
